cid,pid,label
CHEMBL162621,Q05513,0
CHEMBL1991678,Q8IU85,1
CHEMBL1242028,P48736,0
CHEMBL1996791,Q16620,1
CHEMBL1984711,P17948,0
CHEMBL488646,P11802,1
CHEMBL1972183,Q9Y243,1
CHEMBL1988141,P49336,0
CHEMBL463054,O14965,0
CHEMBL1270399,P48730,0
CHEMBL2003524,O14965,0
CHEMBL1979933,P50613,1
CHEMBL1241678,P35968,0
CHEMBL1984586,O00444,0
CHEMBL1998432,Q9Y4K4,0
CHEMBL482967,Q8TDC3,0
CHEMBL1983393,Q16620,0
CHEMBL2007296,P11362,1
CHEMBL1976040,Q13188,1
CHEMBL130163,Q05655,0
CHEMBL1933576,P11362,1
CHEMBL483531,P41279,0
CHEMBL1983111,Q13555,0
CHEMBL1992306,Q13237,1
CHEMBL183844,Q13464,1
CHEMBL1969042,P11362,0
CHEMBL514499,P36888,0
CHEMBL2001485,Q9UM73,0
CHEMBL1990885,Q14164,1
CHEMBL1966514,Q14289,1
CHEMBL1976220,O14965,0
CHEMBL1241588,P78527,0
CHEMBL210928,P22607,1
CHEMBL2006580,Q16620,1
CHEMBL2000393,P29597,0
CHEMBL1998829,P29317,1
CHEMBL387971,P08581,1
CHEMBL1973860,Q9HCP0,1
CHEMBL2002682,O14757,1
CHEMBL1994241,P51812,0
CHEMBL519982,P24941,0
CHEMBL1996543,P07333,1
CHEMBL1970142,P07949,0
CHEMBL2005475,P28482,0
CHEMBL1966628,Q96KB5,0
CHEMBL1969523,Q9Y4K4,0
CHEMBL2005475,Q16620,1
CHEMBL1970879,P12931,0
CHEMBL1977681,P23443,1
CHEMBL1242373,Q06187,1
CHEMBL1992306,P78368,1
CHEMBL1994321,P11309,1
CHEMBL2006493,P04629,1
CHEMBL1977148,P04629,0
CHEMBL1991429,P51617,1
CHEMBL1650545,P54760,0
CHEMBL2002479,Q9HAZ1,0
CHEMBL1995211,O14965,1
CHEMBL1971801,Q9NWZ3,1
CHEMBL1964444,Q04771,0
CHEMBL1980995,O94806,0
CHEMBL386637,P54760,0
CHEMBL117697,P06241,0
CHEMBL1973483,P00519,0
CHEMBL1973720,Q04912,0
CHEMBL340259,P49841,0
CHEMBL2002702,O00444,0
CHEMBL185569,O95819,0
CHEMBL1994830,P48729,1
CHEMBL1969502,P00519,0
CHEMBL2002702,P23443,0
CHEMBL365318,P22607,0
CHEMBL2000029,P08581,0
CHEMBL2002702,Q13557,0
CHEMBL1994159,Q9Y463,1
CHEMBL225519,P31749,1
CHEMBL253969,O95819,0
CHEMBL1979057,Q9Y243,1
CHEMBL2007421,Q9HAZ1,0
CHEMBL1985888,P35968,0
CHEMBL248757,P36888,1
CHEMBL1993548,Q9HBH9,0
CHEMBL7064,P51957,1
CHEMBL235157,Q16513,1
CHEMBL1381197,P52333,1
CHEMBL1990590,O95819,1
CHEMBL1981725,P51955,0
CHEMBL23327,P24941,0
CHEMBL1964692,Q96PF2,1
CHEMBL556684,Q02763,0
CHEMBL1997534,P23443,0
CHEMBL1987034,O14965,0
CHEMBL132170,P22694,1
CHEMBL311906,P05129,1
CHEMBL1972849,Q9NR20,1
CHEMBL2006237,Q9H4B4,1
CHEMBL1995811,Q8IU85,0
CHEMBL1989856,P29317,1
CHEMBL316264,P00519,0
CHEMBL1254007,Q02763,0
CHEMBL1682359,O14757,1
CHEMBL2002446,Q00535,1
CHEMBL193697,Q05655,0
CHEMBL1095627,Q13464,1
CHEMBL2006778,O60674,0
CHEMBL378627,P06213,1
CHEMBL1980391,P06239,0
CHEMBL1966808,P49841,0
CHEMBL1982660,Q5S007,1
CHEMBL1966808,O96013,1
CHEMBL1997892,P11362,1
CHEMBL100102,P17252,1
CHEMBL1976093,O96017,1
CHEMBL75680,Q02156,1
CHEMBL1969561,P00519,0
CHEMBL1090360,P35916,0
CHEMBL1973540,P35968,0
CHEMBL529663,P35968,0
CHEMBL1241300,P48736,0
CHEMBL2031893,P12931,0
CHEMBL415049,P35968,0
CHEMBL210887,P06493,1
CHEMBL1992536,Q8IW41,1
CHEMBL226403,O00444,0
CHEMBL1994040,Q86V86,1
CHEMBL260135,P42685,1
CHEMBL1977346,P42685,1
CHEMBL2347053,P09619,0
CHEMBL1973808,Q13131,1
CHEMBL1973348,Q16513,1
CHEMBL1993661,Q96GD4,0
CHEMBL1650533,Q9H4B4,0
CHEMBL1991674,P08922,0
CHEMBL1976420,Q13882,0
CHEMBL1996048,Q9H2G2,0
CHEMBL1989518,P04629,1
CHEMBL370283,P24941,0
CHEMBL1242032,P12931,1
CHEMBL2004419,P53667,1
CHEMBL185569,P36888,0
CHEMBL523823,O43293,0
CHEMBL1986684,P35968,1
CHEMBL1970903,P35916,1
CHEMBL406845,Q04771,0
CHEMBL1975534,P06213,1
CHEMBL1988717,P35916,0
CHEMBL1970217,Q9NWZ3,1
CHEMBL519697,Q86V86,1
CHEMBL406845,P00533,0
CHEMBL435868,P05771,0
CHEMBL1964290,Q9Y243,1
CHEMBL1971149,Q8N4C8,1
CHEMBL1992634,Q13554,0
CHEMBL1965507,Q16288,1
CHEMBL1996980,O96013,0
CHEMBL2002407,P68400,0
CHEMBL2004615,O96013,1
CHEMBL1993335,O43293,1
CHEMBL1966808,Q06187,1
CHEMBL1996604,Q13464,1
CHEMBL1983393,Q06187,1
CHEMBL1968791,Q9HAZ1,1
CHEMBL1967116,P00533,0
CHEMBL1984162,P06493,0
CHEMBL337297,P41743,0
CHEMBL1966842,P07949,0
CHEMBL1965507,P27448,0
CHEMBL1916359,Q9UM73,1
CHEMBL274064,P48730,0
CHEMBL474432,Q13188,0
CHEMBL1965570,Q14680,1
CHEMBL1990912,O15264,1
CHEMBL1084546,P05129,1
CHEMBL1964307,O15264,1
CHEMBL2347053,P22607,0
CHEMBL1997623,P06213,1
CHEMBL1993661,P45984,0
CHEMBL2000029,P50613,0
CHEMBL189584,P22607,0
CHEMBL1997534,O95819,0
CHEMBL49120,P35968,0
CHEMBL1967531,Q9H3Y6,1
CHEMBL295132,Q02156,1
CHEMBL1682546,O43293,1
CHEMBL1982700,P06241,1
CHEMBL2007421,Q16620,0
CHEMBL1975233,P51817,1
CHEMBL1988608,P78368,1
CHEMBL1964777,P41743,1
CHEMBL1995740,P04626,1
CHEMBL1989265,P49760,1
CHEMBL1969735,P11309,1
CHEMBL1981215,P09619,1
CHEMBL1971186,P10721,1
CHEMBL231568,P35968,0
CHEMBL1988437,P50613,1
CHEMBL1965845,P51617,0
CHEMBL1825138,Q7KZI7,0
CHEMBL1988581,Q7L7X3,0
CHEMBL1997617,Q7L7X3,1
CHEMBL116070,P51451,1
CHEMBL1241490,P54760,0
CHEMBL1825138,Q96PF2,0
CHEMBL1971186,Q12851,1
CHEMBL1992937,Q05513,1
CHEMBL323601,P05129,1
CHEMBL2006836,Q5VT25,1
CHEMBL1988594,Q8NE63,0
CHEMBL211378,P51451,0
CHEMBL1995740,P11309,0
CHEMBL1996780,O00444,1
CHEMBL1991818,O43293,1
CHEMBL1968380,Q9H4B4,0
CHEMBL2205426,P00519,0
CHEMBL1994241,Q96SB4,0
CHEMBL2064666,P36888,0
CHEMBL1242756,P00519,1
CHEMBL1997597,Q9Y6M4,1
CHEMBL1972221,Q9HAZ1,0
CHEMBL1968406,O96017,1
CHEMBL1977148,P45983,1
CHEMBL1972934,Q13464,1
CHEMBL1997822,O43293,1
CHEMBL244378,P29597,0
CHEMBL424168,P24723,1
CHEMBL1991138,P35968,1
CHEMBL1999484,Q16539,1
CHEMBL394790,O00444,1
CHEMBL1996795,P49336,1
CHEMBL1994555,P51812,1
CHEMBL1998680,P51817,1
CHEMBL260135,Q13464,1
CHEMBL338155,Q05655,0
CHEMBL1982660,P07949,0
CHEMBL1241487,P08631,0
CHEMBL1972158,Q13557,0
CHEMBL275224,P41743,1
CHEMBL1977713,Q00535,1
CHEMBL1986139,Q5VT25,1
CHEMBL1965033,Q16288,0
CHEMBL1968070,Q15303,1
CHEMBL539474,Q9H4B4,0
CHEMBL461876,P42685,1
CHEMBL319068,Q04759,0
CHEMBL1974157,P48730,1
CHEMBL392642,P28482,1
CHEMBL1973540,P00519,0
CHEMBL1985095,Q8N4C8,0
CHEMBL272453,P06239,0
CHEMBL1980671,Q04771,0
CHEMBL1682346,Q96GD4,0
CHEMBL337027,Q02156,0
CHEMBL2005631,O00444,0
CHEMBL2005509,Q9UEE5,0
CHEMBL2005936,Q9BXA7,1
CHEMBL1241271,O00329,0
CHEMBL2007296,Q13627,1
CHEMBL2046643,P27361,1
CHEMBL2001485,P23443,0
CHEMBL1966703,Q12851,1
CHEMBL1998121,P41743,0
CHEMBL1974870,P51617,1
CHEMBL482767,P51955,1
CHEMBL1973483,P06241,0
CHEMBL482767,P49841,1
CHEMBL1974664,Q06187,0
CHEMBL1241773,P54760,1
CHEMBL1970317,P07949,0
CHEMBL387971,P35968,0
CHEMBL296586,O96017,0
CHEMBL1966816,P48730,1
CHEMBL1996931,Q14680,1
CHEMBL1986851,P29376,0
CHEMBL1999811,Q96SB4,0
CHEMBL461140,P45983,0
CHEMBL1994438,Q9Y4K4,0
CHEMBL1094408,P04629,1
CHEMBL1983449,P15735,1
CHEMBL1977135,P51817,0
CHEMBL1986499,Q00535,0
CHEMBL1972142,O75582,1
CHEMBL1985406,Q9NWZ3,1
CHEMBL1999484,P51812,0
CHEMBL1983309,Q16288,0
CHEMBL1988437,P22607,0
CHEMBL1982866,O95819,1
CHEMBL1682553,P08069,1
CHEMBL508928,Q16288,0
CHEMBL1965660,Q8N4C8,1
CHEMBL1988717,Q9H2X6,0
CHEMBL2002586,P48729,0
CHEMBL1992634,P51617,0
CHEMBL2000029,O43293,0
CHEMBL55788,Q13555,1
CHEMBL1965570,Q8IW41,1
CHEMBL112346,P43403,0
CHEMBL2007124,P50750,1
CHEMBL1965169,Q9HAZ1,0
CHEMBL1980391,Q9Y463,0
CHEMBL1969537,P08922,0
CHEMBL281957,P07948,0
CHEMBL260135,O15264,1
CHEMBL1997129,Q8TDC3,0
CHEMBL1977148,O94806,1
CHEMBL1966343,P51817,0
CHEMBL1982700,P06241,1
CHEMBL1967544,P23443,0
CHEMBL2006156,Q8IW41,0
CHEMBL1974457,Q9NWZ3,1
CHEMBL1985074,P11309,0
CHEMBL505896,P07333,0
CHEMBL1997023,O00418,1
CHEMBL7064,Q07912,1
CHEMBL1972346,P51817,0
CHEMBL491758,P42685,0
CHEMBL434237,P05129,1
CHEMBL1971245,P49760,1
CHEMBL1988387,P04629,0
CHEMBL2000568,Q13557,1
CHEMBL1966722,Q13627,1
CHEMBL1997534,Q9HAZ1,0
CHEMBL461876,Q14164,1
CHEMBL231568,Q15759,1
CHEMBL1996176,Q16288,0
CHEMBL351859,P17252,1
CHEMBL210887,P08922,1
CHEMBL1988692,P29376,0
CHEMBL1973211,Q13464,0
CHEMBL1997617,P30530,0
CHEMBL1976420,Q8N4C8,0
CHEMBL1976090,P24941,1
CHEMBL1242373,P36888,0
CHEMBL1975647,P08069,1
CHEMBL281957,Q9Y478,1
CHEMBL1973178,P07333,0
CHEMBL1981725,O43293,0
CHEMBL1988581,Q16539,0
CHEMBL1983006,P51955,1
CHEMBL1087421,P15056,1
CHEMBL1969151,Q04912,0
CHEMBL507936,O15530,1
CHEMBL2002682,P48730,1
CHEMBL1994361,P51812,1
CHEMBL1987034,Q06187,0
CHEMBL1990346,P51812,1
CHEMBL1980391,P06241,0
CHEMBL1975208,P49840,1
CHEMBL1998432,O43293,0
CHEMBL1992555,P45984,0
CHEMBL1998193,P27448,1
CHEMBL1983575,P48729,0
CHEMBL1973013,P07333,0
CHEMBL1972220,P17612,1
CHEMBL1982476,P11362,0
CHEMBL1999414,P49841,1
CHEMBL1241473,Q9BXA7,0
CHEMBL1966722,Q9NR20,0
CHEMBL1986756,Q06418,0
CHEMBL1970314,P07332,1
CHEMBL1969942,P17612,1
CHEMBL1965033,P49840,1
CHEMBL1988387,Q05397,0
CHEMBL1990496,Q9Y243,1
CHEMBL1973540,O15264,1
CHEMBL1989708,P09619,0
CHEMBL2005631,P51955,0
CHEMBL1971141,P48730,1
CHEMBL1972339,Q9H2X6,0
CHEMBL1968791,Q96SB4,1
CHEMBL2311100,P17252,1
CHEMBL1973016,P34947,1
CHEMBL1984548,O00311,0
CHEMBL1992125,O94806,1
CHEMBL1988872,Q9UM73,1
CHEMBL1976328,Q13627,1
CHEMBL1727312,O96017,1
CHEMBL226471,Q9HCP0,0
CHEMBL1980489,P48730,1
CHEMBL1980297,Q14680,0
CHEMBL373598,P00519,1
CHEMBL302449,P17612,0
CHEMBL1982506,O43781,1
CHEMBL1969126,Q13131,1
CHEMBL1973711,P52333,1
CHEMBL1240565,P78527,0
CHEMBL1998432,O00311,0
CHEMBL2005528,Q9BXA7,1
CHEMBL1981079,P51955,1
CHEMBL1999931,Q5VT25,1
CHEMBL1082440,P27448,0
CHEMBL1970879,O00444,0
CHEMBL1999718,P31751,1
CHEMBL1969301,Q9HCP0,1
CHEMBL226403,Q9HBH9,1
CHEMBL1242201,P12931,0
CHEMBL560813,Q06418,1
CHEMBL1980297,Q9NYL2,0
CHEMBL1241241,P00519,1
CHEMBL1993374,Q12851,1
CHEMBL1977138,O95819,0
CHEMBL1996831,P00519,0
CHEMBL1999496,O14757,1
CHEMBL1972258,Q8NE63,1
CHEMBL2001239,Q9Y6M4,1
CHEMBL86755,P35968,0
CHEMBL507058,P08069,0
CHEMBL1242198,O00329,0
CHEMBL2004355,O00444,1
CHEMBL1988075,O00311,1
CHEMBL1975927,Q00535,1
CHEMBL1970369,Q13554,1
CHEMBL6291,P51812,0
CHEMBL1987009,Q9BXA7,0
CHEMBL1968380,P07948,1
CHEMBL1975534,P78368,1
CHEMBL1986666,P36888,0
CHEMBL1972489,P29597,1
CHEMBL1994321,Q14289,1
CHEMBL1991138,P42685,0
CHEMBL1967720,P41743,1
CHEMBL2001751,Q96GD4,0
CHEMBL1991078,Q9P1W9,1
CHEMBL1970317,P43405,1
CHEMBL220057,P06241,0
CHEMBL262623,Q04771,1
CHEMBL1976158,P06241,1
CHEMBL1965387,P34947,1
CHEMBL1973098,Q16288,1
CHEMBL513846,P15735,1
CHEMBL1998585,Q96SB4,1
CHEMBL1241270,P00519,0
CHEMBL1999718,Q5VT25,1
CHEMBL2000335,P16591,0
CHEMBL1986597,P35968,1
CHEMBL386760,P11362,0
CHEMBL2006188,P17948,0
CHEMBL2001668,P27448,1
CHEMBL323601,P05129,1
CHEMBL1992536,O00418,1
CHEMBL1970709,P07333,1
CHEMBL1984548,O94806,0
CHEMBL1969102,P06241,0
CHEMBL1996510,P51812,0
CHEMBL377383,P21802,1
CHEMBL1650545,P48730,0
CHEMBL95692,Q9Y6M4,1
CHEMBL234085,Q9Y4K4,1
CHEMBL1967302,P49841,0
CHEMBL2006450,O00311,0
CHEMBL1964441,O14965,0
CHEMBL210618,Q9NYL2,1
CHEMBL2000568,Q13464,1
CHEMBL1988437,P22607,0
CHEMBL1242853,P08631,0
CHEMBL1991078,Q9UEE5,0
CHEMBL1934327,P35916,0
CHEMBL1978562,Q00535,0
CHEMBL1986265,Q04759,1
CHEMBL1993661,O15530,0
CHEMBL1968515,Q04759,1
CHEMBL1991846,P48730,1
CHEMBL1242574,P00533,0
CHEMBL142425,P51617,1
CHEMBL243088,Q08881,1
CHEMBL2348417,P17948,1
CHEMBL1979057,P04629,1
CHEMBL1979318,O15264,1
CHEMBL1682545,Q9HBH9,0
CHEMBL1242294,P42336,0
CHEMBL1980704,O00311,1
CHEMBL1973142,Q06418,1
CHEMBL1982866,Q96GD4,1
CHEMBL1966343,P30530,1
CHEMBL7064,O96017,0
CHEMBL1978099,P06241,0
CHEMBL1983268,P29376,0
CHEMBL1973808,Q13554,1
CHEMBL1994361,O75116,1
CHEMBL1986756,Q96GD4,1
CHEMBL1980297,O94806,1
CHEMBL497151,P49840,0
CHEMBL1969502,O75582,1
CHEMBL2000508,Q96RG2,1
CHEMBL1978099,O60674,0
CHEMBL1983025,P29317,0
CHEMBL1986328,P49137,1
CHEMBL1966279,P06213,1
CHEMBL1996066,P10721,0
CHEMBL1997822,Q16644,1
CHEMBL1966279,P00519,0
CHEMBL1999414,P11362,0
CHEMBL196363,P17948,0
CHEMBL383541,P35916,1
CHEMBL1977749,Q04912,1
CHEMBL396523,O15075,1
CHEMBL1967336,P17948,1
CHEMBL2000029,Q9UHD2,0
CHEMBL231209,P23443,0
CHEMBL327300,P22694,1
CHEMBL1994241,Q9HAZ1,0
CHEMBL2004025,P49841,0
CHEMBL1966816,P17948,0
CHEMBL1242112,P48736,0
CHEMBL1988717,P17948,0
CHEMBL1996649,P06239,0
CHEMBL1985074,Q86V86,0
CHEMBL1984842,Q9NWZ3,1
CHEMBL2001547,Q13555,1
CHEMBL365318,P11362,0
CHEMBL1967564,Q9Y4K4,1
CHEMBL1095626,P17252,1
CHEMBL177688,P49841,0
CHEMBL458997,Q13237,1
CHEMBL2001019,O43293,1
CHEMBL1996979,Q13555,0
CHEMBL1996780,P06241,0
CHEMBL1981720,Q9HAZ1,0
CHEMBL406901,Q05513,1
CHEMBL1978271,Q16513,0
CHEMBL1998435,P48730,1
CHEMBL2007044,Q00535,1
CHEMBL2002726,P31751,0
CHEMBL130049,O94806,0
CHEMBL1995740,P49840,0
CHEMBL1969664,Q9UEE5,0
CHEMBL1990821,P42685,1
CHEMBL2004290,Q13555,1
CHEMBL1682553,Q14012,1
CHEMBL339799,Q15139,0
CHEMBL1971186,O96017,1
CHEMBL606964,P16234,0
CHEMBL1974480,Q9UM73,1
CHEMBL434037,Q04759,1
CHEMBL1994693,P30530,0
CHEMBL1987034,P04629,0
CHEMBL1998611,P08069,0
CHEMBL1996500,P48729,0
CHEMBL1242028,P42336,0
CHEMBL1998159,Q13976,0
CHEMBL1242113,P78527,0
CHEMBL1970314,Q9HBH9,0
CHEMBL1969102,P06213,0
CHEMBL411903,Q9UM73,0
CHEMBL2003482,Q13976,1
CHEMBL2000481,Q9UEE5,1
CHEMBL491758,Q96SB4,1
CHEMBL1971943,P16234,1
CHEMBL1090360,P06239,0
CHEMBL1989708,P51812,0
CHEMBL413779,Q05513,1
CHEMBL1998112,O95819,1
CHEMBL2000408,Q9H2G2,1
CHEMBL1997503,P35968,1
CHEMBL1994321,Q7L7X3,0
CHEMBL1242112,P78527,0
CHEMBL2005186,Q16288,1
CHEMBL1984038,Q96GD4,1
CHEMBL1081312,P53667,0
CHEMBL1998121,Q9BZL6,0
CHEMBL1992922,Q13976,1
CHEMBL2005528,P28482,0
CHEMBL554993,P00533,0
CHEMBL1965660,Q12851,0
CHEMBL249282,O14965,1
CHEMBL505896,O14965,0
CHEMBL244378,P51955,0
CHEMBL1084546,P16591,1
CHEMBL1992536,P11362,1
CHEMBL2006439,Q13627,0
CHEMBL1986943,P53778,0
CHEMBL2001257,Q9Y6M4,1
CHEMBL2007592,Q8N4C8,1
CHEMBL365598,P17612,0
CHEMBL1981047,P08069,1
CHEMBL1969561,P36888,1
CHEMBL1081312,P07949,0
CHEMBL1890036,Q05513,1
CHEMBL1980297,Q16620,0
CHEMBL2006581,Q00535,1
CHEMBL1242109,P08631,0
CHEMBL129946,P12931,0
CHEMBL1965589,Q13153,1
CHEMBL406845,P11309,1
CHEMBL1994830,P31749,1
CHEMBL45827,P06213,1
CHEMBL1969049,Q96KB5,1
CHEMBL2005899,P00519,0
CHEMBL207544,P17612,0
CHEMBL1270230,P06239,1
